password_label,hash_algorithm,number_of_workers,controller_side_parsing_time_ms,job_dispatch_registration_overhead_ms,work_assignment_overhead_total_ms,work_assignment_overhead_per_unit_ns,worker_cracking_time_ms,result_return_latency_ms,checkpoint_overhead_ms,checkpoint_impact_pct,total_end_to_end_runtime_ms,controller_overhead_ms,networking_overhead_ms,combined_overhead_ms,heartbeat_observation_count,heartbeat_avg_interval_metric_ms,checkpoint_observation_count,checkpoint_avg_ms,checkpoint_min_ms,checkpoint_max_ms,run_label,serial_fraction_estimate,predicted_runtime_5_workers_ms,measured_runtime_5_workers_ms,prediction_error_pct
Ace,bcrypt,1,0.032729,133.293429,48.242597,5360.29,11398.773783999999,0.317582,493.275996,3.09,15984.453238,48.275326,133.611011,675.162333,,,85,5.803247,4.97496,17.706318,Ace - 1 workers,0.06739445701610043,4058.7014849394063,,
Ace,bcrypt,2,0.5479729999999999,145.981998,35.323028,4415.38,9869.248023,0.333367,499.801391,7.88,6340.247632,35.871001,146.315365,681.987757,,,82,6.095138,5.044744,18.005221,Ace - 2 workers,0.06739445701610043,4058.7014849394063,,
Ace,bcrypt,3,0.985459,150.511133,33.677799,4209.72,9911.205317,0.285569,529.268695,3.88,13645.110187,34.663258,150.796702,714.728655,,,84,6.300817,4.954392,18.488848,Ace - 3 workers,0.06739445701610043,4058.7014849394063,,
Bad,bcrypt,1,0.598565,214.532446,81.795756,5453.05,19347.603472,0.360437,861.781524,3.9,22122.574053,82.394321,214.892883,1159.068728,,,146,5.902613,2.841464,22.586794,Bad - 1 workers,0.0701181092403601,5665.4692619009675,,
Bad,bcrypt,2,0.5119049999999999,246.146835,78.68278,5245.52,19509.856707000003,0.430681,942.955194,6.86,13742.855529,79.194685,246.577516,1268.727395,,,151,6.244736,5.009305,24.770662,Bad - 2 workers,0.0701181092403601,5665.4692619009675,,
Bad,bcrypt,3,2.967175,230.529303,68.352382,5257.88,16658.127372,0.364935,886.76814,4.9,18113.060535,71.319557,230.894238,1188.981935,,,141,6.289135,4.947735,20.443034,Bad - 3 workers,0.0701181092403601,5665.4692619009675,,
Cab,bcrypt,1,0.6163609999999999,366.700523,160.549854,7645.23,27368.996964,0.343472,1285.117262,4.32,29739.544795,161.166215,367.043995,1813.3274720000002,,,208,6.178448,4.836577,66.857124,Cab - 1 workers,0.10682878229551823,8489.540444178294,,
Cab,bcrypt,2,2.393922,345.615585,111.23026,5296.68,27292.197581,0.306741,1341.818618,8.35,16064.055634999999,113.624182,345.922326,1801.3651260000001,,,215,6.241016,4.845168,34.203622,Cab - 2 workers,0.10682878229551823,8489.540444178294,,
Cab,bcrypt,3,0.5727599999999999,340.985932,102.048954,4859.47,27402.232377,0.407608,1330.036987,11.05,12037.563992000001,102.621714,341.39354,1774.0522409999999,,,213,6.244305,4.971795,19.419495,Cab - 3 workers,0.10682878229551823,8489.540444178294,,
Dad,bcrypt,1,0.554102,429.466219,153.887353,5495.98,35269.68801799999,0.33495199999999997,1735.327857,4.65,37356.32461,154.441455,429.801171,2319.570483,,,271,6.403423,5.030963,26.688831,Dad - 1 workers,0.11532340404340126,10917.71173526039,,
Dad,bcrypt,2,2.393118,416.115963,142.548273,5279.57,34309.117094999994,0.40611200000000003,1664.555894,8.87,18767.757168,144.941391,416.522075,2226.01936,,,270,6.165021,4.936946,23.81527,Dad - 2 workers,0.11532340404340126,10917.71173526039,,
Dad,bcrypt,3,0.631081,451.9247,148.675429,5309.84,35878.326965,0.310807,1722.302159,12.25,14061.031919,149.30651,452.235507,2323.844176,,,271,6.355358,5.028086,20.354057,Dad - 3 workers,0.11532340404340126,10917.71173526039,,
Ear,bcrypt,1,0.495019,549.788668,187.402131,5511.83,43353.517731,0.36148,2039.62499,4.64,43990.097333,187.89715,550.150148,2777.672288,,,333,6.124999,4.861944,26.345092,Ear - 1 workers,0.11704261282482142,12916.992210818024,,
Ear,bcrypt,2,0.558155,555.42052,206.150565,6246.99,42772.20796,0.321904,2169.429306,9.15,23699.949608,206.70872,555.742424,2931.88045,,,332,6.534425,4.939216,46.779899,Ear - 2 workers,0.11704261282482142,12916.992210818024,,
Ear,bcrypt,3,0.57537,537.190711,181.358218,5334.07,44008.027102,0.530841,1973.302173,12.04,16392.842194,181.933588,537.721552,2692.957313,,,334,5.90809,4.964412,20.301883,Ear - 3 workers,0.11704261282482142,12916.992210818024,,
